"id","Orientation_date","Orientation_time","freq_down","freq_down_unit","batchnumber","true_value_Lon","true_value_lat","true_value_error","result_confidence","false_value_lon","false_value_lat","freq_up","freq_up_unit","multiAccessMode","modulate_pattern","code_Mode","bandwidth","bandwidth_unit","sps","sps_unit","medial_sat_norad","adjacent_sat_norad1","adjacent_sat_norad2"
"923765","2020/6/14","00:10:33","268350","KHz","2983","107.711","6.522","14267","0.860","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923766","2020/6/14","00:06:31","268350","KHz","9975","107.755","6.611","6001","0.940","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923767","2020/6/14","00:06:43","268350","KHz","9979","129.765","24.996","5001","0.950","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923768","2020/6/14","00:06:47","268350","KHz","9978","103.826","1.366","2000","0.980","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923769","2020/6/14","00:11:20","261925","KHz","110","130.809","-12.488","8939","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923770","2020/6/14","00:06:56","252050","KHz","9971","127.005","36.941","10002","0.900","0.000","0.000","293050","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923771","2020/6/14","00:11:49","261925","KHz","110","130.809","-12.483","8942","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923772","2020/6/14","00:09:05","266950","KHz","9972","129.752","24.877","4001","0.960","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923773","2020/6/14","00:12:20","261925","KHz","110","130.807","-12.408","8958","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923774","2020/6/14","00:12:07","266950","KHz","3349","144.647","13.296","23491","0.770","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923775","2020/6/14","00:11:40","266950","KHz","3350","147.199","14.538","26608","0.740","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","19199","Hz","25258","44637","40892"
"923776","2020/6/14","00:10:18","266950","KHz","9972","129.754","24.878","1000","0.990","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923777","2020/6/14","00:12:31","252050","KHz","1432","147.165","14.159","25931","0.750","0.000","0.000","293050","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923778","2020/6/14","00:12:49","261925","KHz","110","130.804","-12.405","8961","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923779","2020/6/14","00:11:15","268350","KHz","2915","129.745","24.937","66925","0.340","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923780","2020/6/14","00:12:49","268350","KHz","2915","129.741","24.910","66925","0.340","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923781","2020/6/14","00:11:02","268350","KHz","2976","103.797","1.421","11906","0.890","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923782","2020/6/14","00:12:20","268350","KHz","2983","107.722","6.648","14339","0.860","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923783","2020/6/14","00:11:15","266950","KHz","9972","129.756","24.852","5001","0.950","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923784","2020/6/14","00:13:12","261925","KHz","110","130.805","-12.408","8969","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923785","2020/6/14","00:13:50","261925","KHz","110","130.804","-12.411","8969","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923786","2020/6/14","00:12:50","266950","KHz","3339","129.731","24.831","65874","0.350","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923787","2020/6/14","00:13:49","266950","KHz","3339","129.729","24.820","65874","0.350","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923788","2020/6/14","00:09:01","268350","KHz","9979","129.766","24.965","6001","0.940","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923789","2020/6/14","00:14:19","261925","KHz","110","130.805","-12.400","8972","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9613","Hz","25258","44637","40892"
"923790","2020/6/14","00:12:05","266950","KHz","9972","129.759","24.927","1000","0.990","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923791","2020/6/14","00:14:02","252050","KHz","1432","147.163","14.140","25962","0.750","0.000","0.000","293050","KHz","TD","未知","未知","25000","Hz","9613","Hz","25258","44637","40892"
"923792","2020/6/14","00:14:39","252050","KHz","1432","147.163","14.143","25962","0.750","0.000","0.000","293050","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923793","2020/6/14","00:14:48","261925","KHz","110","130.810","-12.478","8963","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923794","2020/6/14","00:09:05","268350","KHz","9978","103.836","1.366","1000","0.990","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923795","2020/6/14","00:09:32","268350","KHz","9979","129.748","24.770","2000","0.980","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","0","Hz","25258","44637","40892"
"923796","2020/6/14","00:15:20","261925","KHz","110","130.807","-12.398","8980","0.920","0.000","0.000","295525","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923797","2020/6/14","00:14:15","266950","KHz","3339","129.730","24.842","66450","0.340","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923798","2020/6/14","00:15:10","266950","KHz","3339","129.729","24.832","66450","0.340","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923799","2020/6/14","00:15:20","266950","KHz","3350","147.169","14.462","26812","0.740","0.000","0.000","307950","KHz","TD","未知","未知","25000","Hz","19199","Hz","25258","44637","40892"
"923800","2020/6/14","00:13:18","268350","KHz","2915","129.755","25.028","68704","0.320","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
"923801","2020/6/14","00:15:03","268350","KHz","2915","129.751","25.002","68704","0.320","0.000","0.000","309350","KHz","TD","未知","未知","25000","Hz","9600","Hz","25258","44637","40892"
